INVOICE NO,PO NO,INVOICE DATE,AMOUNT,EXPECTED PAYMENT DATE,STATUS,CURRENCY,REASON
ISI-21932684,,10-Dec-19,14817.6,5-Mar-20,Paid,SAR,
ISI-21941871,,31-Dec-19,19687.5,5-Mar-20,Paid,SAR,
ISI-22030028,,13-Jan-20,18504.52,2-Apr-20,Paid,SAR,
ISI-22030027,,13-Jan-20,10760.19,2-Apr-20,Paid,SAR,
ISI-22030025,,13-Jan-20,11025,2-Apr-20,Paid,SAR,
ISI-22030024,,13-Jan-20,11285.12,2-Apr-20,Paid,SAR,
ISI-20200022,,7-Jan-20,39925.2,2-Apr-20,Paid,SAR,
ISI-22030038,,15-Jan-20,24696,2-Apr-20,Paid,SAR,
ISI-22030026,,13-Jan-20,11782.68,2-Apr-20,Paid,SAR,
ISI-22030124,,26-Jan-20,21419.91,2-Apr-20,Paid,SAR,
ISI-22030123,,26-Jan-20,11523.15,2-Apr-20,Paid,SAR,
ISI-22030222,5500014799,4-Feb-20,13407.31,30-Apr-20,Paid,SAR,
ISI-22030224,5500014799,4-Feb-20,11136.34,30-Apr-20,Paid,SAR,
ISI-22030226,5500014799,5-Feb-20,7241.16,30-Apr-20,Paid,SAR,
ISI-22030215,5500014810,3-Feb-20,16065,30-Apr-20,Paid,SAR,
ISI-22030096,4502103323,23-Jan-20,40214.61,2-Apr-20,Paid,SAR,
ISI-22030032,5500014453,14-Jan-20,12654.6,2-Apr-20,Paid,SAR,
ISI-22030041,4502100699,16-Jan-20,56183.4,2-Apr-20,Paid,SAR,
ISI-22030047,5500014618,16-Jan-20,8229.11,2-Apr-20,Paid,SAR,
ISI-22030221,5500014799,4-Feb-20,10789.25,30-Apr-20,Paid,SAR,
ISI-22030313,5500014618,17-Feb-20,5977.12,30-Apr-20,Paid,SAR,
MSI-22030008,4502115151,31-Jan-20,30240,2-Apr-20,Paid,SAR,
ISI-22030383,5500015053,24-Feb-20,32446.57,30-Apr-20,Paid,SAR,
ISI-21932310,4502035336,28-Oct-19,32853.39,2-Apr-20,Paid,SAR,
ISI-21931462,5500013197,23-Jul-19,6089.98,2-Apr-20,Paid,SAR,
ISI-21940996,5500013898,17-Jul-19,39375,2-Apr-20,Paid,SAR,
ISI-21941530,5500014283,27-Oct-19,19177.2,2-Apr-20,Paid,SAR,
ISI-21932559,5500014437,25-Nov-19,12033.78,2-Apr-20,Paid,SAR,
ISI-22030250,5500014952,9-Feb-20,20601,30-Apr-20,Paid,SAR,
ISI-22030480,5500014799,29-Feb-20,7941.93,30-Apr-20,Paid,SAR,
ISI-22030479,5500014799,29-Feb-20,16443,30-Apr-20,Paid,SAR,
ISI-22030453,5500014799,27-Feb-20,15876,30-Apr-20,Paid,SAR,
ISI-22030528,4502158977,4-Mar-20,21891.24,4-Jun-20,Paid,SAR,
ISI-22030527,4502149296,4-Mar-20,5672.73,4-Jun-20,Paid,SAR,
ISI-22030520,4502149296,1-Mar-20,7596.96,4-Jun-20,Paid,SAR,
ISI-22040163,5500014813,16-Feb-20,22470,30-Apr-20,Paid,SAR,
ISI-22030519,4502149296,1-Mar-20,14346.76,4-Jun-20,Paid,SAR,
ISI-22030481,5500014799,29-Feb-20,7828.84,30-Apr-20,Paid,SAR,
MSI-22030017,4502117838,29-Feb-20,15540,30-Apr-20,Paid,SAR,
ISI-22040286,5500014987,5-Mar-20,8988,4-Jun-20,Paid,SAR,
ISI-21932433,5500014404,7-Nov-19,7717.5,16-Apr-20,Paid,SAR,
SCN-22030012,,24-Mar-20,-735,16-Apr-20,Paid,SAR,
ISI-21932404,5500014404,4-Nov-19,11576.25,16-Apr-20,Paid,SAR,
SCN-22030008,,24-Mar-20,-1102.5,16-Apr-20,Paid,SAR,
ISI-21932407,5500014404,4-Nov-19,7717.5,16-Apr-20,Paid,SAR,
SCN-22030011,,24-Mar-20,-735,16-Apr-20,Paid,SAR,
ISI-21932406,5500014404,4-Nov-19,11576.25,16-Apr-20,Paid,SAR,
SCN-22030010,,24-Mar-20,-1102.5,16-Apr-20,Paid,SAR,
ISI-21932405,5500014404,4-Nov-19,11034.62,16-Apr-20,Paid,SAR,
SCN-22030009,,24-Mar-20,-1050.91,16-Apr-20,Paid,SAR,
ISI-22040341,5500015053,16-Mar-20,31458,4-Jun-20,Paid,SAR,
ISI-22030576,5500015137,11-Mar-20,11227.26,4-Jun-20,Paid,SAR,
ISI-22030575,5500015103,11-Mar-20,15051.08,4-Jun-20,Paid,SAR,
ISI-22030625,4502149296,18-Mar-20,25589.76,4-Jun-20,Paid,SAR,
ISI-22040303,5500015053,9-Mar-20,40446,4-Jun-20,Paid,SAR,
ISI-22030652,4502149296,23-Mar-20,12453.77,4-Jun-20,Paid,SAR,
ISI-22030565,4502158977,10-Mar-20,15193.92,4-Jun-20,Paid,SAR,
ISI-22030651,4502149296,23-Mar-20,14659.13,4-Jun-20,Paid,SAR,
ISI-22030669,4502170101,25-Mar-20,9996,4-Jun-20,Paid,SAR,
ISI-22030713,4502149296,29-Mar-20,37784.88,4-Jun-20,Paid,SAR,
ISI-21932434,,11-Nov-19,3617.29,4-Jun-20,Paid,SAR,
SCN-22030013,,24-Mar-20,-344.51,4-Jun-20,Paid,SAR,
ISI-22030819,,7-Apr-20,15993.6,30-Jun-20,Paid,SAR,
ISI-22030802,,5-Apr-20,5910.24,30-Jun-20,Paid,SAR,
ISI-22030746,5500015224,31-Mar-20,29768.45,4-Jun-20,Paid,SAR,
ISI-22030806,5500015155,5-Apr-20,3324.97,30-Jun-20,Paid,SAR,
ISI-22030582,4502170101,15-Mar-20,15903.64,4-Jun-20,Paid,SAR,
ISI-22030810,4502180315,6-Apr-20,55977.6,30-Jun-20,Paid,SAR,
ISI-22030613,4502170101,17-Mar-20,23990.4,4-Jun-20,Paid,SAR,
